game_id,sport,league,season,week,game_date,home_team,away_team,home_score,away_score,home_odds_decimal,away_odds_decimal,draw_odds_decimal,spread_line,total_line,source,ingested_at,result,kickoff_utc
2018_01_ATL_PHI,nfl,NFL,2018,1,2018-09-06,PHI,ATL,18.0,12.0,1.9433962264150944,1.9615384615384617,,1.0,44.5,nflverse,2026-09-11T10:54:50.615246+00:00,H,2018-09-07T00:20:00+00:00
2018_01_BUF_BAL,nfl,NFL,2018,1,2018-09-09,BAL,BUF,47.0,3.0,1.2816901408450705,4.09,,7.5,39.0,nflverse,2026-09-11T10:54:50.615246+00:00,H,2018-09-09T17:00:00+00:00
2018_01_CHI_GB,nfl,NFL,2018,1,2018-09-09,GB,CHI,24.0,23.0,1.3690036900369003,3.4,,6.5,45.0,nflverse,2026-09-11T10:54:50.615246+00:00,H,2018-09-10T00:20:00+00:00
2018_01_CIN_IND,nfl,NFL,2018,1,2018-09-09,IND,CIN,23.0,34.0,1.9523809523809523,1.9523809523809523,,-1.0,47.5,nflverse,2026-09-11T10:54:50.615246+00:00,A,2018-09-09T17:00:00+00:00
2018_01_DAL_CAR,nfl,NFL,2018,1,2018-09-09,CAR,DAL,16.0,8.0,1.6711409395973154,2.34,,2.5,42.5,nflverse,2026-09-11T10:54:50.615246+00:00,H,2018-09-09T20:25:00+00:00
2018_01_HOU_NE,nfl,NFL,2018,1,2018-09-09,NE,HOU,27.0,20.0,1.4166666666666667,3.14,,6.0,49.5,nflverse,2026-09-11T10:54:50.615246+00:00,H,2018-09-09T17:00:00+00:00
2018_01_JAX_NYG,nfl,NFL,2018,1,2018-09-09,NYG,JAX,15.0,20.0,2.27,1.7092198581560285,,-2.5,43.0,nflverse,2026-09-11T10:54:50.615246+00:00,A,2018-09-09T17:00:00+00:00
2018_01_KC_LAC,nfl,NFL,2018,1,2018-09-09,LAC,KC,28.0,38.0,1.5405405405405406,2.66,,3.5,48.0,nflverse,2026-09-11T10:54:50.615246+00:00,A,2018-09-09T20:05:00+00:00
2018_01_PIT_CLE,nfl,NFL,2018,1,2018-09-09,CLE,PIT,21.0,21.0,2.56,1.5780346820809248,,-3.5,41.0,nflverse,2026-09-11T10:54:50.615246+00:00,D,2018-09-09T17:00:00+00:00
2018_01_SEA_DEN,nfl,NFL,2018,1,2018-09-09,DEN,SEA,27.0,24.0,1.5714285714285714,2.5700000000000003,,3.0,42.5,nflverse,2026-09-11T10:54:50.615246+00:00,H,2018-09-09T20:25:00+00:00
2018_01_SF_MIN,nfl,NFL,2018,1,2018-09-09,MIN,SF,24.0,16.0,1.373134328358209,3.38,,6.0,46.5,nflverse,2026-09-11T10:54:50.615246+00:00,H,2018-09-09T17:00:00+00:00
2018_01_TB_NO,nfl,NFL,2018,1,2018-09-09,NO,TB,40.0,48.0,1.2222222222222223,4.85,,10.0,50.0,nflverse,2026-09-11T10:54:50.615246+00:00,A,2018-09-09T17:00:00+00:00
2018_01_TEN_MIA,nfl,NFL,2018,1,2018-09-09,MIA,TEN,27.0,20.0,2.04,1.8695652173913042,,-1.0,43.5,nflverse,2026-09-11T10:54:50.615246+00:00,H,2018-09-09T17:00:00+00:00
2018_01_WAS_ARI,nfl,NFL,2018,1,2018-09-09,ARI,WAS,6.0,24.0,1.7751937984496124,2.17,,2.0,43.5,nflverse,2026-09-11T10:54:50.615246+00:00,A,2018-09-09T20:25:00+00:00
