sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,executable_prob_yes,spread_cost_frac,volume,volume_24h,open_interest,yes_bid_size,yes_ask_size,status,source,fetched_at
nfl,NFL,KXNFLGAME-26SEP10SFLAR,KXNFLGAME-26SEP10SFLAR-LAR,,,,2026-09-11T06:35:00Z,Los Angeles R,0.64,0.65,0.645,0.65,0.007751937984496138,1587678.28,973625.36,1338944.98,1446911.09,7813081.04,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP10SFLAR,KXNFLGAME-26SEP10SFLAR-SF,,,,2026-09-11T06:35:00Z,San Francisco,0.35,0.36,0.355,0.36,0.014084507042253502,1648892.36,984400.97,1464069.84,489219.37,11261456.72,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-ARI,,,,2026-09-14T02:25:00Z,Arizona,0.18,0.19,0.185,0.19,0.027027027027026973,96256.36,16850.45,70153.31,143421.07,121215.05,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-LAC,,,,2026-09-14T02:25:00Z,Los Angeles C,0.8,0.81,0.805,0.81,0.006211180124223503,153347.14,26138.48,90311.61,117125.34,311039.64,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-ATL,,,,2026-09-13T20:00:00Z,Atlanta,0.37,0.38,0.375,0.38,0.01333333333333342,55191.05,9558.91,43321.6,9961.97,339266.29,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-PIT,,,,2026-09-13T20:00:00Z,Pittsburgh,0.62,0.63,0.625,0.63,0.008000000000000007,124836.74,34667.32,112364.67,154392.7,64587.97,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-BAL,,,,2026-09-13T20:00:00Z,Baltimore,0.6,0.61,0.605,0.61,0.008264462809917328,103114.28,19983.39,84543.12,120672.37,95317.05,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-IND,,,,2026-09-13T20:00:00Z,Indianapolis,0.38,0.39,0.385,0.39,0.012987012987013102,44075.69,6311.64,37614.83,180780.77,6884.3,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-BUF,,,,2026-09-13T20:00:00Z,Buffalo,0.51,0.52,0.515,0.52,0.009708737864077666,215151.46,39540.41,164083.65,152676.9,407584.05,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-HOU,,,,2026-09-13T20:00:00Z,Houston,0.47,0.48,0.475,0.48,0.010526315789473717,121516.76,33257.02,108654.81,126124.39,18635.16,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CAR,,,,2026-09-13T20:00:00Z,Carolina,0.39,0.4,0.395,0.4,0.012658227848101333,47591.85,9141.03,35377.77,102964.21,82187.1,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CHI,,,,2026-09-13T20:00:00Z,Chicago,0.59,0.6,0.595,0.6,0.008403361344537785,181973.89,27546.64,150694.01,132700.35,123385.36,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-CLE,,,,2026-09-13T20:00:00Z,Cleveland,0.21,0.22,0.215,0.22,0.023255813953488413,91235.18,21544.52,74787.47,55407.14,243055.53,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-JAC,,,,2026-09-13T20:00:00Z,Jacksonville,0.78,0.79,0.785,0.79,0.006369426751592355,90915.21,19306.52,70526.62,118054.65,105021.67,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-DAL,,,,2026-09-14T06:20:00Z,Dallas,0.6,0.61,0.605,0.61,0.008264462809917328,375608.73,66744.15,301821.11,72177.7,56608.01,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-NYG,,,,2026-09-14T06:20:00Z,New York G,0.4,0.41,0.405,0.41,0.012345679012345512,143227.38,35425.8,107314.78,721.12,445472.71,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-GB,,,,2026-09-13T23:25:00Z,Green Bay,0.46,0.47,0.46499999999999997,0.47,0.010752688172043001,261940.51,56415.57,221100.79,163.0,322353.04,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-MIN,,,,2026-09-13T23:25:00Z,Minnesota,0.53,0.54,0.535,0.54,0.009345794392523477,109235.62,23354.44,95070.46,87748.02,29572.86,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-LV,,,,2026-09-13T23:25:00Z,Las Vegas,0.59,0.6,0.595,0.6,0.008403361344537785,69597.06,11771.35,54756.2,83046.14,109729.38,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-MIA,,,,2026-09-13T23:25:00Z,Miami,0.39,0.4,0.395,0.4,0.012658227848101333,83911.06,32781.23,74194.84,23918.89,67819.23,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-DET,,,,2026-09-13T20:00:00Z,Detroit,0.74,0.75,0.745,0.75,0.006711409395973256,200983.91,27383.61,118722.14,66383.71,148385.44,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-NO,,,,2026-09-13T20:00:00Z,New Orleans,0.25,0.26,0.255,0.26,0.019607843137254832,109038.33,17723.29,88822.82,206086.33,17509.75,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-NYJ,,,,2026-09-13T23:00:00Z,New York J,0.47,0.48,0.475,0.48,0.010526315789473717,99603.4,17111.35,83977.22,210331.97,28434.28,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-TEN,,,,2026-09-13T23:00:00Z,Tennessee,0.51,0.52,0.515,0.52,0.009708737864077666,56099.68,15922.31,43890.8,99288.5,230972.83,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13TBCIN,KXNFLGAME-26SEP13TBCIN-CIN,,,,2026-09-13T20:00:00Z,Cincinnati,0.64,0.65,0.645,0.65,0.007751937984496138,30220.24,6392.68,24625.71,4183.3,140944.27,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13TBCIN,KXNFLGAME-26SEP13TBCIN-TB,,,,2026-09-13T20:00:00Z,Tampa Bay,0.35,0.36,0.355,0.36,0.014084507042253502,78117.71,15115.23,69649.32,16540.7,29416.96,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13WASPHI,KXNFLGAME-26SEP13WASPHI-PHI,,,,2026-09-13T23:25:00Z,Philadelphia,0.67,0.68,0.675,0.68,0.007407407407407307,89763.11,20055.39,81353.97,118543.09,104300.96,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP13WASPHI,KXNFLGAME-26SEP13WASPHI-WAS,,,,2026-09-13T23:25:00Z,Washington,0.31,0.32,0.315,0.32,0.015873015873015817,78699.87,7153.2,73852.94,72364.98,126866.03,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP14DENKC,KXNFLGAME-26SEP14DENKC-DEN,,,,2026-09-15T03:15:00Z,Denver,0.43,0.44,0.435,0.44,0.011494252873563315,268999.58,50038.8,238244.84,15185.13,110048.92,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP14DENKC,KXNFLGAME-26SEP14DENKC-KC,,,,2026-09-15T03:15:00Z,Kansas City,0.56,0.57,0.565,0.57,0.008849557522123908,53983.5,8622.09,43873.86,25801.64,35350.57,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-BUF,,,,2026-09-18T03:15:00Z,Buffalo,0.6,0.61,0.605,0.61,0.008264462809917328,13162.5,1395.47,11471.61,1372.67,4512.14,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-DET,,,,2026-09-18T03:15:00Z,Detroit,0.39,0.4,0.395,0.4,0.012658227848101333,11212.81,2310.17,8662.48,270.58,1383.31,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20CARATL,KXNFLGAME-26SEP20CARATL-ATL,,,,2026-09-20T20:00:00Z,Atlanta,0.52,0.53,0.525,0.53,0.00952380952380949,1144.52,65.67,1045.59,500.0,1968.0,active,kalshi,2026-09-10T16:49:01.464974+00:00
