sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
nfl,NFL,KXNFLGAME-26SEP10SFLAR,KXNFLGAME-26SEP10SFLAR-SF,,LA,SF,2026-09-11T06:35:00Z,away,0.35,0.36,0.355,0.01,506390.85,8962692.37,1442084.46,807161.98,1263496.12,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP10SFLAR,KXNFLGAME-26SEP10SFLAR-LAR,,LA,SF,2026-09-11T06:35:00Z,home,0.64,0.65,0.645,0.01,1339453.59,6438202.67,1389841.41,797465.38,1153672.25,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-ARI,,LAC,ARI,2026-09-14T02:25:00Z,away,0.18,0.19,0.185,0.01,46944.33,139995.72,95958.51,17330.41,69880.36,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-LAC,,LAC,ARI,2026-09-14T02:25:00Z,home,0.8,0.81,0.805,0.01,80297.3,287124.77,147213.8,20912.84,84438.82,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-ATL,,PIT,ATL,2026-09-13T20:00:00Z,away,0.37,0.38,0.375,0.01,3364.46,310380.52,54734.09,9781.31,42927.08,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-PIT,,PIT,ATL,2026-09-13T20:00:00Z,home,0.62,0.63,0.625,0.01,117753.53,65565.47,120614.58,34459.71,108311.95,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-BAL,,IND,BAL,2026-09-13T20:00:00Z,away,0.6,0.61,0.605,0.01,89907.69,94258.76,101226.51,19415.47,82718.81,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-IND,,IND,BAL,2026-09-13T20:00:00Z,home,0.38,0.39,0.385,0.01,145837.7,7535.69,43424.32,6156.7,36963.46,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-BUF,,HOU,BUF,2026-09-13T20:00:00Z,away,0.51,0.52,0.515,0.01,89333.14,378883.13,211410.01,37548.71,160562.93,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-HOU,,HOU,BUF,2026-09-13T20:00:00Z,home,0.47,0.48,0.475,0.01,123481.64,16416.99,119313.01,31949.91,106531.02,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CHI,,CAR,CHI,2026-09-13T20:00:00Z,away,0.59,0.6,0.595,0.01,92354.04,140098.7,179561.17,26975.49,148772.28,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CAR,,CAR,CHI,2026-09-13T20:00:00Z,home,0.39,0.4,0.395,0.01,67481.02,35010.02,46307.43,8554.48,34614.47,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-CLE,,JAX,CLE,2026-09-13T20:00:00Z,away,0.21,0.22,0.215,0.01,13796.48,222855.95,90679.57,22415.25,74408.8,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-JAC,,JAX,CLE,2026-09-13T20:00:00Z,home,0.78,0.79,0.785,0.01,91985.79,14541.19,90174.59,19727.01,69884.72,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-DAL,,NYG,DAL,2026-09-14T06:20:00Z,away,0.59,0.6,0.595,0.01,125902.99,3352.02,370463.72,69663.42,297551.71,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-NYG,,NYG,DAL,2026-09-14T06:20:00Z,home,0.4,0.41,0.405,0.01,4158.21,369375.51,141043.5,34766.46,105592.99,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-GB,,MIN,GB,2026-09-13T23:25:00Z,away,0.46,0.47,0.4649999999999999,0.01,2700.46,304850.45,254483.52,51402.54,213754.81,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-MIN,,MIN,GB,2026-09-13T23:25:00Z,home,0.53,0.54,0.535,0.01,62576.67,47423.33,107660.63,22917.21,93547.17,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-MIA,,LV,MIA,2026-09-13T23:25:00Z,away,0.39,0.4,0.395,0.01,35445.14,59782.54,83048.54,32671.37,73337.32,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-LV,,LV,MIA,2026-09-13T23:25:00Z,home,0.59,0.6,0.595,0.01,95405.45,122918.87,68587.98,11396.17,53814.68,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-NO,,DET,NO,2026-09-13T20:00:00Z,away,0.25,0.26,0.255,0.01,207317.55,19107.62,108012.75,17852.2,87910.58,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-DET,,DET,NO,2026-09-13T20:00:00Z,home,0.74,0.75,0.745,0.01,10944.62,232743.03,198183.61,26564.49,116024.79,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-NYJ,,TEN,NYJ,2026-09-13T23:00:00Z,away,0.47,0.48,0.475,0.01,139149.75,41014.6,94503.01,12978.63,79773.76,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-TEN,,TEN,NYJ,2026-09-13T23:00:00Z,home,0.51,0.52,0.515,0.01,114728.68,195882.12,55633.0,16409.89,43533.8,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13TBCIN,KXNFLGAME-26SEP13TBCIN-TB,,CIN,TB,2026-09-13T20:00:00Z,away,0.35,0.36,0.355,0.01,28578.61,34210.78,77153.37,14712.89,68796.52,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13TBCIN,KXNFLGAME-26SEP13TBCIN-CIN,,CIN,TB,2026-09-13T20:00:00Z,home,0.64,0.65,0.645,0.01,7151.04,154454.96,29691.91,6170.73,24216.74,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13WASPHI,KXNFLGAME-26SEP13WASPHI-WAS,,PHI,WAS,2026-09-13T23:25:00Z,away,0.31,0.32,0.315,0.01,67147.22,138820.27,78216.28,7331.41,73448.65,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP13WASPHI,KXNFLGAME-26SEP13WASPHI-PHI,,PHI,WAS,2026-09-13T23:25:00Z,home,0.67,0.68,0.675,0.01,83210.94,374009.33,85973.89,26848.94,77624.73,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP14DENKC,KXNFLGAME-26SEP14DENKC-DEN,,KC,DEN,2026-09-15T03:15:00Z,away,0.43,0.44,0.435,0.01,16336.66,110945.88,266397.45,52618.8,235932.61,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP14DENKC,KXNFLGAME-26SEP14DENKC-KC,,KC,DEN,2026-09-15T03:15:00Z,home,0.56,0.57,0.565,0.01,22517.6,28945.45,53545.87,8861.18,43646.13,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-DET,,BUF,DET,2026-09-18T03:15:00Z,away,0.39,0.4,0.395,0.01,260.89,1230.74,10974.5,2099.86,8450.17,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-BUF,,BUF,DET,2026-09-18T03:15:00Z,home,0.6,0.61,0.605,0.01,298.74,4378.77,13102.85,1414.06,11431.96,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP20CARATL,KXNFLGAME-26SEP20CARATL-CAR,,ATL,CAR,2026-09-20T20:00:00Z,away,0.46,0.48,0.47,0.02,2301.0,1898.0,8801.89,294.99,6188.09,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP20CARATL,KXNFLGAME-26SEP20CARATL-ATL,,ATL,CAR,2026-09-20T20:00:00Z,home,0.52,0.53,0.525,0.01,500.0,1968.0,1144.52,65.67,1045.59,active,kalshi,2026-09-10T14:51:52.484699+00:00
nfl,NFL,KXNFLGAME-26SEP20CINHOU,KXNFLGAME-26SEP20CINHOU-CIN,,HOU,CIN,2026-09-20T20:00:00Z,away,0.43,0.44,0.435,0.01,981.0,7749.89,6306.49,670.31,5084.03,active,kalshi,2026-09-10T14:51:52.484699+00:00
