sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
soccer,EPL,KXEPLGAME-26SEP12AVLNFO,KXEPLGAME-26SEP12AVLNFO-NFO,,Aston Villa,Nott'm Forest,2026-09-12T17:00:00Z,away,0.29,0.3,0.295,0.01,9329.7,4967.12,4160.61,1511.96,3901.26,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP12AVLNFO,KXEPLGAME-26SEP12AVLNFO-TIE,,Aston Villa,Nott'm Forest,2026-09-12T17:00:00Z,draw,0.27,0.28,0.275,0.01,21303.78,4862.0,1587.48,308.5,1335.9,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP12AVLNFO,KXEPLGAME-26SEP12AVLNFO-AVL,,Aston Villa,Nott'm Forest,2026-09-12T17:00:00Z,home,0.42,0.43,0.425,0.01,3910.0,8853.95,8685.86,3914.73,7160.38,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP12BOUBRE,KXEPLGAME-26SEP12BOUBRE-BRE,,Bournemouth,Brentford,2026-09-12T17:00:00Z,away,0.34,0.36,0.35,0.02,10419.26,14623.55,5974.5,944.57,5074.15,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP12BOUBRE,KXEPLGAME-26SEP12BOUBRE-TIE,,Bournemouth,Brentford,2026-09-12T17:00:00Z,draw,0.26,0.27,0.265,0.01,1452.73,23592.99,8253.85,925.79,5980.01,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP12BOUBRE,KXEPLGAME-26SEP12BOUBRE-BOU,,Bournemouth,Brentford,2026-09-12T17:00:00Z,home,0.38,0.39,0.385,0.01,9772.23,5661.0,9769.74,1450.41,4287.84,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP12CFCHUL,KXEPLGAME-26SEP12CFCHUL-HUL,,Chelsea,Hull,2026-09-12T17:00:00Z,away,0.06,0.07,0.065,0.01,37118.34,71.51,99187.17,12777.09,86691.12,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP12CFCHUL,KXEPLGAME-26SEP12CFCHUL-TIE,,Chelsea,Hull,2026-09-12T17:00:00Z,draw,0.14,0.15,0.145,0.01,5696.23,26978.47,17827.11,7336.1,17168.6,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP12CFCHUL,KXEPLGAME-26SEP12CFCHUL-CFC,,Chelsea,Hull,2026-09-12T17:00:00Z,home,0.79,0.8,0.795,0.01,50.0,54039.56,31832.12,7255.22,25879.5,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP12CRYIPS,KXEPLGAME-26SEP12CRYIPS-IPS,,Crystal Palace,Ipswich,2026-09-12T17:00:00Z,away,0.23,0.24,0.235,0.01,3768.85,4013.0,3691.52,312.32,3519.07,active,kalshi,2026-09-10T14:51:52.972320+00:00
